12/20/22 1:41:47: style.scss - Undefined variable $standardfarben: style.scss on line 2, at column 1
12/20/22 1:41:48: style.scss - Undefined variable $standardfarben: style.scss on line 2, at column 1
12/20/22 1:42:03: style.scss - Undefined variable $standardfarben: style.scss on line 2, at column 1
12/20/22 1:49:38: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:50:39: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:50:39: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:23: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:33: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:39: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:39: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:42: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:42: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:53: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:51:57: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:00: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:00: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:00: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:00: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:04: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:52:15: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:53:03: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 1:53:03: style.scss - Undefined variable $fontgroessen: style.scss on line 24, at column 1
12/20/22 2:04:48: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:04:49: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:05:03: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:05:18: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:05:33: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:05:48: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:05:50: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
